pattern,archetype,match_type,priority
Rakdos Midrange,Midrange,exact,1
RG,Ramp,exact,1
Ruby Storm,Combo,exact,1
Sam Combo,Combo,exact,1
Selective Oracle,Combo,exact,1
Selesnya Blink,Blink,exact,1
Selesnya Energy,Aggro,exact,1
Selesnya GenericBlink,Blink,exact,1
Simic Basking Broodscale Combo,Combo,exact,1
Simic Midrange,Midrange,exact,1
Song of Creation,Combo,exact,1
Sultai Midrange,Midrange,exact,1
Sultai Murktide,Midrange,exact,1
Sultai Ritual,Midrange,exact,1
Temur Breach,Combo,exact,1
Temur Cutter,Aggro,exact,1
Temur Prowess,Aggro,exact,1
Temur Scapeshift,Ramp,exact,1
The Rock,Midrange,exact,1
Through the Breach,Combo,exact,1
Tron,Ramp,exact,1
UB,Control,exact,1
UBR,Midrange,exact,1
UBRG,Control,exact,1
UG,Combo,exact,1
UR,Aggro,exact,1
UR Loki,Control,exact,1
URG,Midrange,exact,1
UW Control,Control,exact,1
UW Loki,Control,exact,1
W,Aggro,exact,1
WBG,Midrange,exact,1
WBR,Midrange,exact,1
WBRG,Control,exact,1
WG,Aggro,exact,1
WR,Control,exact,1
WRG,Combo,exact,1
WU,Control,exact,1
WUB,Blink,exact,1
WUBR,Control,exact,1
WUBRG,Control,exact,1
WUG,Midrange,exact,1
WUR,Midrange,exact,1
WURG,Control,exact,1
Yawgmoth,Midrange,exact,1
Blink,Blink,contains,2
Yawgmoth,Midrange,contains,2
Eldrazi,Ramp,contains,3
Energy,Aggro,contains,3
Burn,Aggro,contains,10
Control,Control,contains,10
Midrange,Midrange,contains,10
Prowess,Aggro,contains,10
Storm,Combo,contains,10
Tron,Ramp,contains,10
