raw_name,canonical_name,archetype
Naya Energy,Naya Energy,Aggro
Naya Scapeshift,Naya Scapeshift,Ramp
Necrodominance,Necrodominance,Combo
Neobrand,Neobrand,Combo
Orzhov Blink,Orzhov Blink,Blink
Orzhov GenericBlink,Orzhov Blink,Blink
Orzhov Midrange,Orzhov Midrange,Midrange
Prowess,Prowess,Aggro
R,R,Aggro
Rakdos Aggro,Rakdos Aggro,Aggro
Rakdos Burn,Rakdos Burn,Aggro
Rakdos Delirium,Rakdos Delirium,Aggro
Rakdos HollowOne,Rakdos HollowOne,Graveyard
Rakdos Midrange,Rakdos Midrange,Midrange
RG,RG,Ramp
Ruby Storm,Ruby Storm,Combo
Sam Combo,Sam Combo,Combo
Samwise Combo,Samwise Combo,Combo
Selective Oracle,Selective Oracle,Combo
Selesnya Energy,Selesnya Energy,Aggro
Selesnya GenericBlink,Selesnya Blink,Blink
Simic Basking Broodscale Combo,Broodscale Combo,Combo
Simic Midrange,Simic Midrange,Midrange
Simic Ritual,Simic Ritual,Aggro
Song of Creation,Song of Creation,Combo
Sultai Midrange,Sultai Ritual,Midrange
Sultai Murktide,Sultai Murktide,Midrange
Sultai Ritual,Sultai Ritual,Midrange
Tameshi Belcher,Tameshi Belcher,Combo
Temur Breach,Temur Breach,Combo
Temur Prowess,Prowess,Aggro
Temur Scapeshift,Temur Scapeshift,Ramp
The Rock,The Rock,Midrange
Through the Breach,Through the Breach,Combo
Tron,Tron,Ramp
UB,Dimir Control,Control
UBR,UBR,Midrange
UBRG,UBRG,Control
UG,UG,Combo
UR,Prowess,Aggro
URG,URG,Midrange
W,W,Aggro
WBG,WBG,Midrange
WBR,WBR,Midrange
WBRG,WBRG,Control
WG,WG,Aggro
WR,Land Destruction,Control
WRG,WRG,Combo
WU,Azorius Control,Control
WUB,Esper Blink,Blink
WUBR,WUBR,Control
WUBRG,WUBRG,Control
WUG,WUG,Midrange
WUR,WUR,Midrange
WURG,WURG,Control
Yawgmoth,Yawgmoth,Midrange
